,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA,AAPL,MSFT,SPY,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,71.84575653076172,165.88818359375,296.9494323730469,51.91999816894531,73.1624984741211,170.1699981689453,311.5,51.91999816894531,74.47000122070312,173.25999450683594,318.1099853515625,54.22066879272461,71.625,168.2100067138672,310.70001220703125,51.740665435791016,71.63249969482422,169.7100067138672,314.17999267578125,52.16666793823242,198054800.0,56206100,194773800.0,211282500.0
2020-02-27,67.1493148803711,154.1998291015625,283.6128845214844,45.266666412353516,68.37999725341797,158.17999267578125,297.510009765625,45.266666412353516,71.5,167.02999877929688,311.55999755859375,49.31800079345703,68.23999786376953,157.97999572753906,297.510009765625,44.599998474121094,70.2750015258789,163.32000732421875,305.4599914550781,48.66666793823242,320605600.0,93174900,284353500.0,364158000.0
2020-02-28,67.11005401611328,157.93348693847656,282.42132568359375,44.53266525268555,68.33999633789062,162.00999450683594,296.260009765625,44.53266525268555,69.60250091552734,163.7100067138672,297.8900146484375,46.03466796875,64.09249877929688,152.0,285.5400085449219,40.768001556396484,64.31500244140625,152.41000366210938,288.70001220703125,41.97999954223633,426510000.0,97012700,384975800.0,363343500.0
2020-03-02,73.35803985595703,168.44223022460938,294.65203857421875,49.574668884277344,74.70249938964844,172.7899932861328,309.0899963378906,49.574668884277344,75.36000061035156,172.9199981689453,309.1600036621094,49.5793342590332,69.43000030517578,162.30999755859375,294.4599914550781,45.77799987792969,70.56999969482422,165.30999755859375,298.2099914550781,47.41733169555664,341397200.0,71030800,238703600.0,302925000.0
2020-03-03,71.02825927734375,160.3705596923828,286.2154235839844,49.70066833496094,72.33000183105469,164.50999450683594,300.239990234375,49.70066833496094,76.0,175.0,313.8399963378906,53.798667907714844,71.44999694824219,162.25999450683594,297.57000732421875,47.740665435791016,75.9175033569336,173.8000030517578,309.5,53.66666793823242,319475600.0,71677000,300139100.0,386760000.0
2020-03-04,74.32286071777344,166.25857543945312,298.24591064453125,49.96666717529297,75.68499755859375,170.5500030517578,312.8599853515625,49.96666717529297,75.8499984741211,170.6999969482422,313.1000061035156,51.10133361816406,73.28250122070312,165.6199951171875,303.3299865722656,48.31533432006836,74.11000061035156,168.49000549316406,306.1199951171875,50.930667877197266,219178400.0,49814400,176613400.0,225735000.0
2020-03-05,71.91205596923828,162.08627319335938,288.3316955566406,48.30266571044922,73.2300033569336,166.27000427246094,302.4599914550781,48.30266571044922,74.88749694824219,170.8699951171875,308.4700012207031,49.71666717529297,72.85250091552734,165.69000244140625,300.010009765625,47.871334075927734,73.87999725341797,166.0500030517578,304.9800109863281,48.2513313293457,187572800.0,47817300,186366800.0,162790500.0
2020-03-06,70.95704650878906,157.50453186035156,283.5652770996094,46.89866638183594,72.25749969482422,161.57000732421875,297.4599914550781,46.89866638183594,72.70500183105469,163.11000061035156,298.7799987792969,47.133331298828125,70.30750274658203,156.0,290.2300109863281,45.61800003051758,70.5,162.61000061035156,293.1499938964844,46.0,226176800.0,72821100,228667200.0,189943500.0
2020-03-09,65.34491729736328,146.830078125,261.4203796386719,40.53333282470703,66.5425033569336,150.6199951171875,274.2300109863281,40.53333282470703,69.52249908447266,157.75,284.19000244140625,44.20000076293945,65.75,150.0,273.45001220703125,40.33333206176758,65.9375,151.0,275.29998779296875,40.35933303833008,286744800.0,70419300,309417300.0,256105500.0
2020-03-10,70.05115509033203,156.87091064453125,274.9475402832031,43.02199935913086,71.33499908447266,160.9199981689453,288.4200134277344,43.02199935913086,71.61000061035156,161.02999877929688,288.5199890136719,44.53333282470703,67.34249877929688,152.5800018310547,273.5,40.53333282470703,69.28500366210938,158.16000366210938,284.6400146484375,43.96200180053711,285290000.0,65354400,276444100.0,233916000.0
